muestra_id,acidez fija,acidez volatil,acido citrico,azucar residual,cloruros,dioxido de azufre libre,dioxido de azufre total,pH,sulfatos,calidad,SO2_l / SO2_tot,diox_simil_1,diox_simil_2
1501,7.1,0.37,0.67,10.5,0.045,49.0,155.0,3.16,0.44,5,0.3161290322580645,4.503577342094862e-22,0.8103816252373415
1502,7.5,0.21,0.68,10.9,0.045,38.0,133.0,3.0,0.36,5,0.2857142857142857,2.2950999526353423e-15,0.9878247258083831
1503,6.4,0.43,0.32,1.4,0.048,10.0,67.0,3.08,0.41,5,0.14925373134328357,0.00822974704902003,0.41884682445147203
1504,6.8,0.3,0.35,2.8,0.038,10.0,164.0,3.09,0.53,6,0.06097560975609756,3.517066722903549e-25,0.6969789984668727
1505,6.6,0.38,0.29,2.9,0.035,15.0,101.0,3.04,0.37,6,0.1485148514851485,7.335171144838272e-08,0.8553453273074225
1506,9.2,0.56,0.18,1.6,0.078,10.0,21.0,3.15,0.49,5,0.47619047619047616,0.8976275964304349,0.06352955806803286
1507,7.0,0.16,0.25,14.3,0.044,27.0,149.0,2.91,0.46,6,0.18120805369127516,4.0539911292540826e-20,0.8761219372139776
1508,7.5,0.42,0.45,9.1,0.029,20.0,125.0,3.12,0.36,6,0.16,3.069780955097918e-13,0.999750031247396
1509,7.3,0.19,0.68,1.5,0.05,31.0,156.0,3.32,0.64,6,0.1987179487179487,2.083130990636858e-22,0.7985162187593771
1510,7.1,0.43,0.42,5.5,0.07,29.0,129.0,3.42,0.72,5,0.2248062015503876,2.784842452933014e-14,0.9977525293526299
1511,6.8,0.44,0.2,16.0,0.065,61.0,186.0,3.13,0.45,5,0.3279569892473118,1.1529317761451266e-33,0.4065696597405991
1512,7.2,0.5,0.0,0.8,0.034,46.0,114.0,3.19,0.34,4,0.40350877192982454,1.3755462568592508e-10,0.9646402934831231
1513,7.0,0.735,0.05,2.0,0.081,13.0,54.0,3.39,0.57,5,0.24074074074074073,0.11225300299255297,0.27362410337040804
1514,6.6,0.25,0.35,14.0,0.069,42.0,163.0,3.56,0.47,5,0.25766871165644173,7.977517914939344e-25,0.7101706398545315
1515,6.2,0.45,0.2,1.6,0.069,3.0,15.0,3.41,0.56,5,0.2,0.6492093766851474,0.045947768270989044
1516,8.0,0.745,0.56,2.0,0.118,30.0,134.0,3.24,0.66,5,0.22388059701492538,1.2113996115597754e-15,0.9841273200552851
1517,5.8,0.22,0.29,0.9,0.034,34.0,89.0,3.14,0.36,7,0.38202247191011235,9.811062327352189e-06,0.7101706398545315
1518,6.7,0.25,0.26,13.5,0.06,50.0,156.0,3.39,0.46,6,0.32051282051282054,2.083130990636858e-22,0.7985162187593771
1519,7.9,0.52,0.26,1.9,0.079,42.0,140.0,3.23,0.54,5,0.3,2.3093049247977918e-17,0.9521811296985049
1520,5.9,0.54,0.0,0.8,0.032,12.0,82.0,3.25,0.36,5,0.14634146341463414,0.00011449264189049966,0.6163132019122897
1521,9.0,0.3,0.49,7.2,0.039,32.0,84.0,2.94,0.32,6,0.38095238095238093,5.846981031057106e-05,0.6433927065729562
1522,8.1,0.5,0.47,1.1,0.037,23.0,126.0,3.21,0.42,5,0.18253968253968253,1.6999625287756906e-13,1.0
1523,6.8,0.27,0.3,13.0,0.047,69.0,160.0,3.16,0.5,6,0.43125,8.980380306948888e-24,0.7490122054026693
1524,7.3,0.17,0.36,8.2,0.028,44.0,111.0,3.14,0.41,6,0.3963963963963964,6.409946534463482e-10,0.9453027806520595
1525,7.5,0.14,0.34,1.3,0.055,50.0,153.0,3.29,0.8,6,0.32679738562091504,2.0673900221784125e-21,0.8333929661285026
1526,7.9,0.255,0.26,2.0,0.026,40.0,190.0,3.04,0.39,6,0.21052631578947367,2.4193000306379824e-35,0.3591554413294046
1527,8.3,0.28,0.48,2.1,0.093,6.0,12.0,3.26,0.62,7,0.5,0.5091564206075492,0.03881300143312163
1528,6.3,0.32,0.26,12.0,0.049,63.0,170.0,3.14,0.55,6,0.37058823529411766,2.2768604782708498e-27,0.6163132019122897
1529,6.6,0.32,0.47,15.6,0.063,27.0,173.0,3.18,0.56,5,0.15606936416184972,1.6894154876826916e-28,0.5756531326166507
1530,6.5,0.28,0.34,3.6,0.04,29.0,121.0,3.28,0.48,7,0.2396694214876033,3.0741274839199463e-12,0.9937694906233947
1531,5.2,0.3,0.34,1.5,0.038,18.0,96.0,3.56,0.48,8,0.1875,6.265733440181832e-07,0.7985162187593771
1532,6.4,0.24,0.5,11.6,0.047,60.0,211.0,3.18,0.57,5,0.2843601895734597,7.754933215030649e-45,0.1642689919485795
1533,7.1,0.25,0.25,1.6,0.046,50.0,181.0,3.2,0.42,7,0.27624309392265195,1.2612936275556696e-31,0.46942346850496713
1534,11.9,0.37,0.69,2.3,0.078,12.0,24.0,3.0,0.65,6,0.5,0.9733612415243368,0.07419934176053282
1535,6.7,0.25,0.34,12.85,0.048,30.0,161.0,3.44,0.47,6,0.18633540372670807,4.031111852619467e-24,0.7362025458114003
1536,5.8,0.26,0.24,9.2,0.044,55.0,152.0,3.31,0.38,5,0.3618421052631579,4.3898144201314395e-21,0.8445089033860343
1537,8.9,0.4,0.32,5.6,0.087,10.0,47.0,3.38,0.77,7,0.2127659574468085,0.30119421191220214,0.21008354374916954
1538,6.9,0.19,0.38,1.15,0.023,30.0,105.0,3.11,0.38,5,0.2857142857142857,1.1837421617474535e-08,0.895610204755188
1539,9.4,0.34,0.37,2.2,0.075,5.0,13.0,3.22,0.62,5,0.38461538461538464,0.5554370486980182,0.04107933836763487
1540,7.5,0.27,0.36,7.0,0.036,45.0,164.0,3.03,0.33,5,0.27439024390243905,3.517066722903549e-25,0.6969789984668727
1541,6.6,0.36,0.29,1.6,0.021,24.0,85.0,3.41,0.61,9,0.2823529411764706,4.140950972534782e-05,0.6568825786411052
1542,6.5,0.24,0.39,17.3,0.052,22.0,126.0,3.11,0.47,6,0.1746031746031746,1.6999625287756906e-13,1.0
1543,6.5,0.26,0.5,8.0,0.051,46.0,197.0,3.18,0.47,5,0.233502538071066,2.221613055855667e-38,0.2835831218565951
1544,7.1,0.34,0.28,2.0,0.082,31.0,68.0,3.45,0.48,5,0.45588235294117646,0.006454356176091937,0.43127902868897855
1545,6.5,0.32,0.12,11.5,0.033,35.0,165.0,3.22,0.32,5,0.21212121212121213,1.541301708810367e-25,0.6836904652289411
1546,6.7,0.24,0.26,5.4,0.03,15.0,94.0,3.15,0.38,6,0.1595744680851064,1.4169555030100371e-06,0.7741419687922484
1547,7.4,0.18,0.24,1.4,0.047,21.0,106.0,3.52,0.64,7,0.19811320754716982,7.39102064415364e-09,0.9048374180359595
1548,10.0,0.56,0.24,2.2,0.079,19.0,58.0,3.18,0.56,6,0.3275862068965517,0.05596661089964698,0.3147426368427819
1549,8.0,0.81,0.25,3.4,0.076,34.0,85.0,3.19,0.42,5,0.4,4.140950972534782e-05,0.6568825786411052
1550,6.3,0.23,0.31,1.5,0.022,11.0,82.0,3.3,0.4,7,0.13414634146341464,0.00011449264189049966,0.6163132019122897
1551,6.8,0.45,0.36,5.0,0.033,28.0,156.0,3.11,0.4,7,0.1794871794871795,2.083130990636858e-22,0.7985162187593771
1552,6.6,0.26,0.38,6.5,0.17,68.0,201.0,3.19,0.38,6,0.3383084577114428,3.580146494267396e-40,0.2450605392455259
1553,6.3,0.28,0.3,6.6,0.208,60.0,154.0,3.1,0.4,6,0.38961038961038963,9.678162373986572e-22,0.8220122346781865
1554,5.3,0.715,0.19,1.5,0.161,7.0,62.0,3.62,0.61,5,0.11290322580645161,0.02534940552272493,0.3591554413294046
1555,5.6,0.21,0.4,1.3,0.041,81.0,147.0,3.22,0.95,8,0.5510204081632653,1.7317228272655536e-19,0.895610204755188
1556,6.6,0.17,0.26,7.4,0.052,45.0,128.0,3.16,0.37,6,0.3515625,5.120188741348687e-14,0.999000499833375
1557,7.0,0.46,0.39,6.2,0.039,46.0,163.0,3.21,0.35,7,0.2822085889570552,7.977517914939344e-25,0.7101706398545315
1558,8.0,0.22,0.28,14.0,0.053,83.0,197.0,3.14,0.45,6,0.4213197969543147,2.221613055855667e-38,0.2835831218565951
1559,7.8,0.32,0.31,1.7,0.036,46.0,195.0,3.03,0.48,5,0.2358974358974359,1.6881756364316596e-37,0.3041452182568097
1560,7.0,0.28,0.33,14.6,0.043,47.0,168.0,3.34,0.67,6,0.27976190476190477,1.251336797465485e-26,0.6433927065729562
1561,7.3,0.24,0.39,3.6,0.024,35.0,116.0,3.17,0.51,5,0.3017241379310345,4.784760746553178e-11,0.9753099120283326
1562,8.0,0.17,0.29,2.4,0.029,52.0,119.0,3.03,0.33,6,0.4369747899159664,9.384140804010432e-12,0.9878247258083831
1563,6.8,0.22,0.32,5.9,0.054,40.0,152.0,3.2,0.57,6,0.2631578947368421,4.3898144201314395e-21,0.8445089033860343
1564,7.4,1.185,0.0,4.25,0.097,5.0,14.0,3.63,0.54,3,0.35714285714285715,0.6022997704830654,0.04345627581810221
1565,8.5,0.47,0.27,1.9,0.058,18.0,38.0,3.16,0.85,6,0.47368421052631576,0.6955864334990951,0.14427991674278817
1566,5.9,0.29,0.25,13.4,0.067,72.0,160.0,3.33,0.54,6,0.45,8.980380306948888e-24,0.7490122054026693
1567,6.4,0.21,0.21,5.1,0.097,21.0,105.0,3.07,0.46,5,0.2,1.1837421617474535e-08,0.895610204755188
1568,6.7,0.54,0.13,2.0,0.076,15.0,36.0,3.61,0.64,5,0.4166666666666667,0.7842715137715565,0.13199384318783022
1569,8.5,0.32,0.36,14.9,0.041,47.0,190.0,3.08,0.31,6,0.24736842105263157,2.4193000306379824e-35,0.3591554413294046
1570,6.7,0.24,0.36,8.4,0.042,42.0,123.0,3.34,0.52,6,0.34146341463414637,9.83164444845892e-13,0.9977525293526299
1571,6.5,0.25,0.27,17.4,0.064,29.0,140.0,3.2,0.49,6,0.20714285714285716,2.3093049247977918e-17,0.9521811296985049
1572,6.5,0.25,0.32,9.9,0.045,41.0,128.0,3.18,0.52,6,0.3203125,5.120188741348687e-14,0.999000499833375
1573,6.6,0.38,0.15,4.6,0.044,25.0,78.0,3.11,0.38,6,0.32051282051282054,0.0004085076160078274,0.5621424451968224
1574,6.6,0.24,0.3,11.3,0.026,11.0,77.0,3.13,0.55,7,0.14285714285714285,0.0005530843701478336,0.5486744503339374
1575,7.4,0.17,0.4,5.5,0.037,34.0,161.0,3.05,0.62,4,0.2111801242236025,4.031111852619467e-24,0.7362025458114003
1576,6.6,0.29,0.29,1.8,0.036,38.0,102.0,3.08,0.42,7,0.37254901960784315,4.691164021834418e-08,0.865887748059205
1577,5.4,0.33,0.31,4.0,0.03,27.0,108.0,3.3,0.43,7,0.25,2.8299692247416165e-09,0.922193691444608
1578,7.1,0.43,0.17,1.8,0.082,27.0,51.0,3.49,0.64,5,0.5294117647058824,0.17763933359513495,0.2450605392455259
1579,7.0,0.58,0.28,4.8,0.085,12.0,69.0,3.32,0.7,6,0.17391304347826086,0.005031686815973131,0.44385826077685925
1580,8.2,0.25,0.46,3.75,0.05,14.0,102.0,3.28,0.58,5,0.13725490196078433,4.691164021834418e-08,0.865887748059205
1581,8.4,0.24,0.49,7.4,0.039,46.0,108.0,3.03,0.33,7,0.42592592592592593,2.8299692247416165e-09,0.922193691444608
1582,6.8,0.31,0.32,7.6,0.052,35.0,143.0,3.14,0.38,5,0.24475524475524477,2.9403589739877336e-18,0.9302982921639203
1583,7.6,0.4,0.27,1.2,0.053,23.0,193.0,3.22,0.38,5,0.11917098445595854,1.2524020505756419e-36,0.3255464903617943
1584,6.2,0.21,0.27,1.7,0.038,41.0,150.0,3.49,0.71,7,0.2733333333333333,1.943910877113129e-20,0.865887748059205
1585,6.0,0.33,0.2,1.8,0.031,49.0,159.0,3.41,0.53,6,0.3081761006289308,1.988652231859961e-23,0.7616638213305269
1586,8.2,0.28,0.42,1.8,0.031,30.0,93.0,3.09,0.39,5,0.3225806451612903,2.111736422206623e-06,0.7616638213305269
1587,9.3,0.61,0.26,3.4,0.09,25.0,87.0,3.24,0.62,5,0.28735632183908044,2.0399503411171922e-05,0.6836904652289411
1588,7.1,0.18,0.26,1.3,0.041,20.0,71.0,3.04,0.74,6,0.28169014084507044,0.0030034309313291996,0.46942346850496713
1589,6.2,0.76,0.01,3.2,0.041,18.0,120.0,3.2,0.94,7,0.15,5.387174930744011e-12,0.9910403787728836
1590,6.4,0.885,0.0,2.3,0.166,6.0,12.0,3.56,0.51,5,0.5,0.5091564206075492,0.03881300143312163
1591,6.3,0.25,0.27,6.6,0.054,40.0,158.0,3.2,0.48,5,0.25316455696202533,4.377409621689854e-23,0.7741419687922484
1592,6.9,0.33,0.28,1.3,0.051,37.0,187.0,3.27,0.6,5,0.19786096256684493,4.427757117361249e-34,0.39445508427278425
1593,5.9,0.34,0.22,2.4,0.03,19.0,135.0,3.41,0.78,7,0.14074074074074075,6.355759997078935e-16,0.9799536542670847
1594,6.5,0.23,0.39,1.9,0.036,41.0,98.0,3.19,0.43,7,0.41836734693877553,2.7049830631279825e-07,0.8220122346781865
1595,7.3,0.23,0.41,14.6,0.048,73.0,223.0,3.16,0.71,6,0.3273542600896861,8.880339095421405e-51,0.09515482282280588
1596,6.7,0.26,0.29,5.8,0.025,26.0,74.0,3.28,0.53,6,0.35135135135135137,0.0013241295219576434,0.5086475186803137
1597,6.7,0.38,0.26,9.55,0.036,35.0,91.0,2.98,0.37,6,0.38461538461538464,4.6066944370861444e-06,0.7362025458114003
1598,7.5,0.52,0.4,2.2,0.06,12.0,20.0,3.26,0.64,6,0.6,0.8632939774163194,0.060265227497298776
1599,6.7,0.27,0.3,13.9,0.029,34.0,131.0,3.36,0.5,7,0.2595419847328244,8.091194688671889e-15,0.9937694906233947
1600,6.6,0.46,0.49,7.4,0.052,19.0,184.0,3.11,0.38,5,0.10326086956521739,7.677608218738721e-33,0.43127902868897855
1601,7.1,0.26,0.19,8.2,0.051,53.0,187.0,3.16,0.52,5,0.28342245989304815,4.427757117361249e-34,0.39445508427278425
1602,7.6,0.34,0.39,7.6,0.04,45.0,215.0,3.11,0.53,6,0.20930232558139536,8.930741004919789e-47,0.13803472431586922
1603,6.3,0.27,0.51,7.6,0.049,35.0,200.0,3.16,0.54,4,0.175,1.0139145453022103e-39,0.25436119360819465
1604,6.6,0.32,0.26,7.7,0.054,56.0,209.0,3.17,0.45,5,0.2679425837320574,6.970898260626894e-44,0.1786637020001245
1605,7.1,0.735,0.16,1.9,0.1,15.0,77.0,3.27,0.64,5,0.19480519480519481,0.0005530843701478336,0.5486744503339374
1606,6.6,0.22,0.28,12.05,0.058,25.0,125.0,3.45,0.45,5,0.2,3.069780955097918e-13,0.999750031247396
1607,7.5,0.29,0.67,8.1,0.037,53.0,166.0,2.9,0.41,6,0.3192771084337349,6.71411762552558e-26,0.6703200460356393
1608,10.9,0.39,0.47,1.8,0.118,6.0,14.0,3.3,0.75,6,0.42857142857142855,0.6022997704830654,0.04345627581810221
1609,7.6,0.39,0.32,3.6,0.035,22.0,93.0,3.08,0.6,7,0.23655913978494625,2.111736422206623e-06,0.7616638213305269
1610,6.9,0.18,0.36,1.3,0.036,40.0,117.0,3.27,0.95,7,0.3418803418803419,2.796688455926927e-11,0.9799536542670847
1611,6.6,0.815,0.02,2.7,0.072,17.0,34.0,3.58,0.89,7,0.5,0.8632939774163194,0.12051271656014938
1612,8.3,0.18,0.3,1.1,0.033,20.0,57.0,3.02,0.51,6,0.3508771929824561,0.06720551273974976,0.3041452182568097
1613,6.2,0.255,0.24,1.7,0.039,138.5,272.0,3.53,0.53,4,0.5091911764705882,6.22904073939771e-79,0.00484891650510377
1614,6.1,0.36,0.27,2.1,0.035,16.0,100.0,3.4,0.71,7,0.16,1.1400768255377355e-07,0.8445089033860343
1615,7.3,0.19,0.27,1.6,0.027,35.0,136.0,3.38,0.54,7,0.25735294117647056,3.3146813253630435e-16,0.9753099120283326
1616,6.5,0.22,0.32,2.2,0.028,36.0,92.0,3.27,0.59,7,0.391304347826087,3.128365169273275e-06,0.7490122054026693
1617,8.7,0.31,0.73,14.35,0.044,27.0,191.0,2.96,0.88,5,0.14136125654450263,9.070826166408033e-36,0.3477574586840902
1618,5.9,0.46,0.14,2.7,0.042,27.0,160.0,3.46,0.51,7,0.16875,8.980380306948888e-24,0.7490122054026693
1619,7.1,0.68,0.0,2.2,0.073,12.0,22.0,3.48,0.5,5,0.5454545454545454,0.9277434863285529,0.06693722761675015
1620,6.1,0.31,0.58,5.0,0.039,36.0,114.0,3.3,0.6,8,0.3157894736842105,1.3755462568592508e-10,0.9646402934831231
1621,9.2,0.34,0.54,17.3,0.06,46.0,235.0,3.08,0.61,6,0.19574468085106383,4.285984585896822e-57,0.05129048610743099
1622,4.9,0.42,0.0,2.1,0.048,16.0,42.0,3.71,0.74,7,0.38095238095238093,0.5091564206075492,0.17135805889335737
1623,6.6,0.23,0.29,14.45,0.057,29.0,144.0,3.33,0.54,6,0.2013888888888889,1.4615999237207966e-18,0.922193691444608
1624,7.1,0.2,0.36,11.6,0.042,45.0,124.0,2.92,0.59,7,0.3629032258064516,5.51022914228981e-13,0.999000499833375
1625,8.3,0.42,0.38,2.5,0.094,24.0,60.0,3.31,0.7,6,0.4,0.03812061755647895,0.336552878364737
1626,7.5,0.17,0.34,1.4,0.035,13.0,102.0,3.05,0.74,5,0.12745098039215685,4.691164021834418e-08,0.865887748059205
1627,6.4,0.32,0.25,5.0,0.055,28.0,138.0,3.27,0.5,8,0.2028985507246377,8.854683967714215e-17,0.9646402934831231
1628,6.7,0.14,0.46,1.6,0.036,15.0,92.0,3.37,0.49,5,0.16304347826086957,3.128365169273275e-06,0.7490122054026693
1629,5.8,0.61,0.11,1.8,0.066,18.0,28.0,3.55,0.66,6,0.6428571428571429,0.997004495503373,0.09062728067998384
1630,8.9,0.32,0.31,2.0,0.088,12.0,19.0,3.17,0.55,6,0.631578947368421,0.8253068684916823,0.05714005040775944
1631,5.9,0.27,0.27,5.0,0.035,14.0,97.0,3.1,0.33,7,0.14432989690721648,4.1292494158732645e-07,0.8103816252373415
1632,6.2,0.6,0.08,2.0,0.09,32.0,44.0,3.45,0.58,5,0.7272727272727273,0.4202102910640503,0.186187695219304
1633,7.8,0.27,0.34,1.6,0.046,27.0,154.0,3.05,0.45,6,0.17532467532467533,9.678162373986572e-22,0.8220122346781865
1634,8.5,0.19,0.49,3.5,0.044,29.0,117.0,3.14,0.51,6,0.24786324786324787,2.796688455926927e-11,0.9799536542670847
1635,7.2,0.14,0.35,1.2,0.036,15.0,73.0,3.46,0.39,5,0.2054794520547945,0.0017502441263580752,0.49546924289722294
1636,8.9,0.26,0.33,8.1,0.024,47.0,202.0,3.13,0.46,6,0.23267326732673269,1.2565925342789908e-40,0.23598194054475852
1637,6.9,0.48,0.36,3.5,0.03,31.0,135.0,3.14,0.38,7,0.22962962962962963,6.355759997078935e-16,0.9799536542670847
1638,7.0,0.35,0.17,1.1,0.049,7.0,119.0,3.13,0.36,6,0.058823529411764705,9.384140804010432e-12,0.9878247258083831
1639,9.2,0.71,0.23,6.2,0.042,15.0,93.0,2.89,0.34,6,0.16129032258064516,2.111736422206623e-06,0.7616638213305269
1640,8.0,0.25,0.49,9.0,0.044,31.0,185.0,3.34,0.49,6,0.16756756756756758,2.984129468011159e-33,0.41884682445147203
1641,6.4,0.34,0.2,14.9,0.06,37.0,162.0,3.13,0.45,4,0.22839506172839505,1.7986605191577125e-24,0.7232502423798424
1642,6.7,0.21,0.36,8.55,0.02,20.0,86.0,3.19,0.22,7,0.23255813953488372,2.915162210177123e-05,0.6703200460356393
1643,5.7,0.18,0.26,2.2,0.023,21.0,95.0,3.07,0.54,6,0.22105263157894736,9.450764625260006e-07,0.7864312286813591
1644,6.5,0.22,0.27,1.6,0.039,36.0,116.0,3.38,0.57,7,0.3103448275862069,4.784760746553178e-11,0.9753099120283326
1645,8.2,0.15,0.48,2.7,0.052,24.0,190.0,3.5,0.45,7,0.12631578947368421,2.4193000306379824e-35,0.3591554413294046
1646,5.5,0.23,0.19,2.2,0.044,39.0,161.0,3.19,0.43,6,0.2422360248447205,4.031111852619467e-24,0.7362025458114003
1647,6.9,0.24,0.35,1.0,0.052,35.0,146.0,3.45,0.44,6,0.23972602739726026,3.54705175499289e-19,0.9048374180359595
1648,6.4,0.5,0.2,2.4,0.059,19.0,112.0,3.18,0.4,6,0.16964285714285715,3.86070932651607e-10,0.9521811296985049
1649,6.7,0.34,0.43,1.6,0.041,29.0,114.0,3.23,0.44,6,0.2543859649122807,1.3755462568592508e-10,0.9646402934831231
1650,7.2,0.19,0.27,11.2,0.061,46.0,149.0,2.99,0.59,6,0.3087248322147651,4.0539911292540826e-20,0.8761219372139776
1651,6.4,0.68,0.26,3.4,0.069,25.0,146.0,3.18,0.4,5,0.17123287671232876,3.54705175499289e-19,0.9048374180359595
1652,5.8,0.32,0.38,4.75,0.033,23.0,94.0,3.42,0.42,7,0.24468085106382978,1.4169555030100371e-06,0.7741419687922484
1653,7.8,0.5,0.3,1.9,0.075,8.0,22.0,3.31,0.56,6,0.36363636363636365,0.9277434863285529,0.06693722761675015
1654,7.8,0.22,0.26,9.0,0.047,38.0,132.0,3.25,0.53,6,0.2878787878787879,4.322251274666006e-15,0.9910403787728836
1655,8.7,0.24,0.35,0.6,0.042,11.0,71.0,3.08,0.38,5,0.15492957746478872,0.0030034309313291996,0.46942346850496713
1656,6.6,0.22,0.28,4.9,0.042,51.0,180.0,3.3,0.75,6,0.2833333333333333,3.1681185134954354e-31,0.4823911401151259
1657,7.0,0.36,0.32,10.05,0.045,37.0,131.0,3.09,0.33,8,0.2824427480916031,8.091194688671889e-15,0.9937694906233947
1658,7.4,0.41,0.24,1.8,0.066,18.0,47.0,3.37,0.62,5,0.3829787234042553,0.30119421191220214,0.21008354374916954
1659,7.1,0.69,0.04,2.1,0.068,19.0,27.0,3.44,0.67,5,0.7037037037037037,1.0,0.08627201579919554
1660,7.8,0.26,0.44,1.3,0.037,43.0,132.0,3.18,0.65,5,0.32575757575757575,4.322251274666006e-15,0.9910403787728836
1661,10.1,0.31,0.35,1.6,0.075,9.0,28.0,3.24,0.83,7,0.32142857142857145,0.997004495503373,0.09062728067998384
1662,6.5,0.34,0.27,2.8,0.067,8.0,44.0,3.21,0.56,6,0.18181818181818182,0.4202102910640503,0.186187695219304
1663,6.7,0.19,0.34,1.0,0.022,22.0,94.0,3.23,0.57,6,0.23404255319148937,1.4169555030100371e-06,0.7741419687922484
1664,5.7,0.28,0.36,1.8,0.041,38.0,90.0,3.27,0.98,7,0.4222222222222222,6.743037951139162e-06,0.7232502423798424
1665,6.4,0.57,0.14,3.9,0.07,27.0,73.0,3.32,0.48,5,0.3698630136986301,0.0017502441263580752,0.49546924289722294
1666,9.2,0.34,0.27,1.2,0.026,17.0,73.0,3.08,0.39,5,0.2328767123287671,0.0017502441263580752,0.49546924289722294
1667,5.6,0.12,0.33,2.9,0.044,21.0,73.0,3.17,0.32,8,0.2876712328767123,0.0017502441263580752,0.49546924289722294
1668,6.2,0.21,0.52,6.5,0.047,28.0,123.0,3.22,0.49,6,0.22764227642276422,9.83164444845892e-13,0.9977525293526299
1669,5.4,0.15,0.32,2.5,0.037,10.0,51.0,3.04,0.58,6,0.19607843137254902,0.17763933359513495,0.2450605392455259
1670,7.4,0.25,0.36,2.05,0.05,31.0,100.0,3.19,0.44,6,0.31,1.1400768255377355e-07,0.8445089033860343
1671,6.7,0.24,0.33,12.3,0.046,31.0,145.0,3.36,0.4,5,0.21379310344827587,7.221890544425696e-19,0.91370273103288
1672,7.9,0.53,0.24,2.0,0.072,15.0,105.0,3.27,0.54,6,0.14285714285714285,1.1837421617474535e-08,0.895610204755188
1673,6.4,0.22,0.34,1.8,0.057,29.0,104.0,3.81,0.57,6,0.27884615384615385,1.8845343174858356e-08,0.8860339595928756
1674,6.6,0.22,0.34,11.6,0.05,59.0,140.0,3.22,0.4,5,0.42142857142857143,2.3093049247977918e-17,0.9521811296985049
1675,7.6,0.685,0.23,2.3,0.111,20.0,84.0,3.21,0.61,5,0.23809523809523808,5.846981031057106e-05,0.6433927065729562
1676,7.8,0.28,0.31,2.1,0.046,28.0,208.0,3.23,0.64,5,0.1346153846153846,2.0712638960324736e-43,0.186187695219304
1677,6.6,0.16,0.32,1.4,0.035,49.0,186.0,3.35,0.64,8,0.26344086021505375,1.1529317761451266e-33,0.4065696597405991
1678,7.4,0.19,0.49,9.3,0.03,26.0,132.0,2.99,0.32,7,0.19696969696969696,4.322251274666006e-15,0.9910403787728836
1679,6.8,0.56,0.22,1.8,0.074,15.0,24.0,3.4,0.82,6,0.625,0.9733612415243368,0.07419934176053282
1680,6.6,0.545,0.04,2.5,0.031,48.0,111.0,3.14,0.32,5,0.43243243243243246,6.409946534463482e-10,0.9453027806520595
1681,6.5,0.27,0.26,8.2,0.042,21.0,133.0,3.43,0.64,6,0.15789473684210525,2.2950999526353423e-15,0.9878247258083831
1682,5.6,0.19,0.46,1.1,0.032,33.0,115.0,3.36,0.5,6,0.28695652173913044,8.137117671797838e-11,0.9702029524890169
1683,6.9,0.38,0.29,13.65,0.048,52.0,189.0,3.0,0.6,6,0.2751322751322751,6.413968914756689e-35,0.37074158331572676
1684,6.7,0.23,0.26,1.4,0.06,33.0,154.0,3.24,0.56,6,0.21428571428571427,9.678162373986572e-22,0.8220122346781865
1685,9.0,0.38,0.53,2.1,0.102,19.0,76.0,2.93,0.57,5,0.25,0.0007443494072305689,0.5352614285189903
1686,7.2,0.23,0.25,18.8,0.085,19.0,111.0,3.1,0.51,5,0.17117117117117117,6.409946534463482e-10,0.9453027806520595
1687,7.5,0.4,0.12,3.0,0.092,29.0,53.0,3.37,0.7,6,0.5471698113207547,0.131598455037034,0.2638828564181558
1688,7.1,0.61,0.02,2.5,0.081,17.0,87.0,3.48,0.6,6,0.19540229885057472,2.0399503411171922e-05,0.6836904652289411
1689,7.3,0.19,0.27,13.9,0.057,45.0,155.0,2.94,0.41,8,0.2903225806451613,4.503577342094862e-22,0.8103816252373415
1690,13.2,0.38,0.55,2.7,0.081,5.0,16.0,2.98,0.54,5,0.3125,0.6955864334990951,0.048557821270009974
1691,6.1,0.19,0.25,4.0,0.023,23.0,112.0,3.37,0.51,6,0.20535714285714285,3.86070932651607e-10,0.9521811296985049
1692,7.0,0.32,0.24,6.2,0.048,31.0,228.0,3.23,0.62,6,0.13596491228070176,2.3025332472741946e-53,0.07419934176053282
1693,7.3,0.24,0.39,17.95,0.057,45.0,149.0,3.21,0.36,5,0.30201342281879195,4.0539911292540826e-20,0.8761219372139776
1694,6.8,0.19,0.32,7.05,0.019,54.0,188.0,3.25,0.37,8,0.2872340425531915,1.690278252441856e-34,0.38251018447178037
1695,6.8,0.49,0.22,2.3,0.071,13.0,24.0,3.41,0.83,6,0.5416666666666666,0.9733612415243368,0.07419934176053282
1696,6.8,0.23,0.32,8.6,0.046,47.0,159.0,3.08,0.52,6,0.29559748427672955,1.988652231859961e-23,0.7616638213305269
1697,7.0,0.69,0.08,1.8,0.097,22.0,89.0,3.34,0.54,6,0.24719101123595505,9.811062327352189e-06,0.7101706398545315
1698,6.8,0.19,0.71,17.5,0.042,21.0,114.0,2.85,0.5,6,0.18421052631578946,1.3755462568592508e-10,0.9646402934831231
1699,9.9,0.44,0.46,2.2,0.091,10.0,41.0,3.18,0.69,6,0.24390243902439024,0.5554370486980182,0.1642689919485795
1700,7.5,0.22,0.32,2.4,0.045,29.0,100.0,3.08,0.6,7,0.29,1.1400768255377355e-07,0.8445089033860343
1701,7.6,0.17,0.46,0.9,0.036,63.0,147.0,3.02,0.41,6,0.42857142857142855,1.7317228272655536e-19,0.895610204755188
